Rank,name,pop2019,pop2018,GrowthRate,area,Density
1,China,1433783.686,,1.0039,9706961,147.7068
2,India,1366417.754,,1.0099,3287590,415.629
3,United States,329064.917,,1.0059,9372610,35.1092
4,Indonesia,270625.568,,1.0107,1904569,142.0928
5,Pakistan,216565.318,,1.02,881912,245.5634
6,Brazil,211049.527,,1.0072,8515767,24.7834
7,Nigeria,200963.599,,1.0258,923768,217.5477
8,Bangladesh,163046.161,,1.0101,147570,1104.8734
9,Russia,145872.256,,1.0004,17098242,8.5314
10,Mexico,127575.529,,1.0106,1964375,64.9446
11,Japan,126860.301,,0.997,377930,335.6714
12,Ethiopia,112078.73,,1.0257,1104300,101.493
13,Philippines,108116.615,,1.0135,342353,315.8045
14,Egypt,100388.073,,1.0194,1002450,100.1427
15,Vietnam,96462.106,,1.0091,331212,291.2398
16,DR Congo,86790.567,,1.0319,2344858,37.0131
17,Germany,83517.045,,1.0032,357114,233.8666
18,Turkey,83429.615,,1.0109,783562,106.4748
19,Iran,82913.906,,1.013,1648195,50.3059
20,Thailand,69625.582,,1.0025,513120,135.6906
21,United Kingdom,67530.172,,1.0053,242900,278.0164
22,France,65129.728,,1.0022,551695,118.0539
23,Italy,60550.075,,0.9985,301336,200.9387
24,South Africa,58558.27,,1.0128,1221037,47.9578
25,Tanzania,58005.463,,1.0298,945087,61.3758
26,Myanmar,54045.42,,1.0067,676578,79.8805
27,Kenya,52573.973,,1.0228,580367,90.5875
28,South Korea,51225.308,,1.0009,100210,511.1796
29,Colombia,50339.443,,1.0108,1141748,44.0898
30,Spain,46736.776,,1.0004,505992,92.3666
31,Argentina,44780.677,,1.0093,2780400,16.1058
32,Uganda,44269.594,,1.0332,241550,183.273
33,Ukraine,43993.638,,0.9941,603500,72.8975
34,Algeria,43053.054,,1.0185,2381741,18.0763
35,Sudan,42813.238,,1.0242,1886068,22.6997
36,Iraq,39309.783,,1.0232,438317,89.6835
37,Afghanistan,38041.754,,1.0233,652230,58.3257
38,Poland,37887.768,,0.9989,312679,121.1715
39,Canada,37411.047,,1.0089,9984670,3.7468
40,Morocco,36471.769,,1.012,446550,81.6745
41,Saudi Arabia,34268.528,,1.0159,2149690,15.9411
42,Uzbekistan,32981.716,,1.0148,447400,73.7186
43,Peru,32510.453,,1.0142,1285216,25.2957
44,Malaysia,31949.777,,1.013,330803,96.5825
45,Angola,31825.295,,1.0327,1246700,25.5276
46,Ghana,30417.856,,1.0215,238533,127.5205
47,Mozambique,30366.036,,1.0293,801590,37.8823
48,Yemen,29161.922,,1.0228,527968,55.2343
49,Nepal,28608.71,,1.0185,147181,194.3777
50,Venezuela,28515.829,,0.9972,916445,31.1157
51,Madagascar,26969.307,,1.0268,587041,45.9411
52,Cameroon,25876.38,,1.0259,475442,54.4259
53,Ivory Coast,25716.544,,1.0257,322463,79.7504
54,North Korea,25666.161,,1.0044,120538,212.93
55,Australia,25203.198,,1.0118,7692024,3.2765
56,Taiwan,23773.876,,1.0018,36193,656.8639
57,Niger,23310.715,,1.0384,1267000,18.3984
58,Sri Lanka,21323.733,,1.0042,65610,325.0074
59,Burkina Faso,20321.378,,1.0286,272967,74.4463
60,Mali,19658.031,,1.0302,1240192,15.8508
61,Romania,19364.557,,0.9934,238391,81.2302
62,Chile,18952.038,,1.0087,756102,25.0655
63,Malawi,18628.747,,1.0269,118484,157.2258
64,Kazakhstan,18551.427,,1.0121,2724900,6.8081
65,Zambia,17861.03,,1.0293,752612,23.7321
66,Guatemala,17581.472,,1.019,108889,161.4623
67,Ecuador,17373.662,,1.0155,276841,62.7568
68,Netherlands,17097.13,,1.0022,41850,408.5336
69,Syria,17070.135,,1.0252,185180,92.1813
70,Cambodia,16486.542,,1.0141,181035,91.0683
71,Senegal,16296.364,,1.0275,196722,82.8396
72,Chad,15946.876,,1.03,1284000,12.4197
73,Somalia,15442.905,,1.0292,637657,24.2182
74,Zimbabwe,14645.468,,1.0148,390757,37.4797
75,Guinea,12771.246,,1.0283,245857,51.9458
76,Rwanda,12626.95,,1.0258,26338,479.4195
77,Benin,11801.151,,1.0273,112622,104.7855
78,Tunisia,11694.719,,1.0106,163610,71.4792
79,Belgium,11539.328,,1.0044,30528,377.9916
80,Burundi,11530.58,,1.0312,27834,414.2624
81,Bolivia,11513.1,,1.0139,1098581,10.48
