location,date,vaccine,total_vaccinations
Chile,12/24/2020,Pfizer/BioNTech,420
Chile,12/25/2020,Pfizer/BioNTech,5198
Chile,12/26/2020,Pfizer/BioNTech,8338
Chile,12/27/2020,Pfizer/BioNTech,8649
Chile,12/28/2020,Pfizer/BioNTech,8649
Chile,12/29/2020,Pfizer/BioNTech,8649
Chile,12/30/2020,Pfizer/BioNTech,8649
Chile,12/31/2020,Pfizer/BioNTech,8649
Chile,1/1/2021,Pfizer/BioNTech,8649
Chile,1/2/2021,Pfizer/BioNTech,8649
Chile,1/3/2021,Pfizer/BioNTech,8649
Chile,1/4/2021,Pfizer/BioNTech,9054
Chile,1/5/2021,Pfizer/BioNTech,10497
Chile,1/6/2021,Pfizer/BioNTech,10702
Chile,1/7/2021,Pfizer/BioNTech,10702
Chile,1/8/2021,Pfizer/BioNTech,10702
Chile,1/9/2021,Pfizer/BioNTech,10702
Chile,1/10/2021,Pfizer/BioNTech,10702
Chile,1/11/2021,Pfizer/BioNTech,10702
Chile,1/12/2021,Pfizer/BioNTech,10702
Chile,1/13/2021,Pfizer/BioNTech,11732
Chile,1/14/2021,Pfizer/BioNTech,18646
Chile,1/15/2021,Pfizer/BioNTech,22077
Chile,1/16/2021,Pfizer/BioNTech,22167
Chile,1/17/2021,Pfizer/BioNTech,22167
Chile,1/18/2021,Pfizer/BioNTech,33212
Chile,1/19/2021,Pfizer/BioNTech,52569
Chile,1/20/2021,Pfizer/BioNTech,61878
Chile,1/21/2021,Pfizer/BioNTech,64939
Chile,1/22/2021,Pfizer/BioNTech,65351
Chile,1/23/2021,Pfizer/BioNTech,65351
Chile,1/24/2021,Pfizer/BioNTech,65351
Chile,1/25/2021,Pfizer/BioNTech,66771
Chile,1/26/2021,Pfizer/BioNTech,67387
Chile,1/27/2021,Pfizer/BioNTech,67422
Chile,1/28/2021,Pfizer/BioNTech,67422
Chile,1/29/2021,Pfizer/BioNTech,67427
Chile,1/30/2021,Pfizer/BioNTech,67428
Chile,1/31/2021,Pfizer/BioNTech,67428
Chile,2/1/2021,Pfizer/BioNTech,67428
Chile,2/2/2021,Pfizer/BioNTech,67434
Chile,2/2/2021,Sinovac,13192
Chile,2/3/2021,Pfizer/BioNTech,67434
Chile,2/3/2021,Sinovac,183551
Chile,2/4/2021,Pfizer/BioNTech,69562
Chile,2/4/2021,Sinovac,357556
Chile,2/5/2021,Pfizer/BioNTech,70250
Chile,2/5/2021,Sinovac,526217
Chile,2/6/2021,Pfizer/BioNTech,70255
Chile,2/6/2021,Sinovac,554068
Chile,2/7/2021,Pfizer/BioNTech,70256
Chile,2/7/2021,Sinovac,562705
Chile,2/8/2021,Pfizer/BioNTech,82047
Chile,2/8/2021,Sinovac,784146
Chile,2/9/2021,Pfizer/BioNTech,101502
Chile,2/9/2021,Sinovac,1026513
Chile,2/10/2021,Pfizer/BioNTech,109937
Chile,2/10/2021,Sinovac,1298918
Chile,2/11/2021,Pfizer/BioNTech,113006
Chile,2/11/2021,Sinovac,1549959
Chile,2/12/2021,Pfizer/BioNTech,113361
Chile,2/12/2021,Sinovac,1779040
Chile,2/13/2021,Pfizer/BioNTech,113395
Chile,2/13/2021,Sinovac,1808545
Chile,2/14/2021,Pfizer/BioNTech,113395
Chile,2/14/2021,Sinovac,1813011
Chile,2/15/2021,Pfizer/BioNTech,113396
Chile,2/15/2021,Sinovac,2078843
Chile,2/16/2021,Pfizer/BioNTech,113406
Chile,2/16/2021,Sinovac,2298819
Chile,2/17/2021,Pfizer/BioNTech,113406
Chile,2/17/2021,Sinovac,2486864
Chile,2/18/2021,Pfizer/BioNTech,113407
Chile,2/18/2021,Sinovac,2642108
Chile,2/19/2021,Pfizer/BioNTech,113407
Chile,2/19/2021,Sinovac,2784216
Chile,2/20/2021,Pfizer/BioNTech,113407
Chile,2/20/2021,Sinovac,2793855
Chile,2/21/2021,Pfizer/BioNTech,113407
Chile,2/21/2021,Sinovac,2795019
Chile,2/22/2021,Pfizer/BioNTech,125502
Chile,2/22/2021,Sinovac,2891050
Chile,2/23/2021,Pfizer/BioNTech,150348
Chile,2/23/2021,Sinovac,2960457
Chile,2/24/2021,Pfizer/BioNTech,178870
Chile,2/24/2021,Sinovac,3018199
Chile,2/25/2021,Pfizer/BioNTech,212584
Chile,2/25/2021,Sinovac,3070556
Chile,2/26/2021,Pfizer/BioNTech,242318
Chile,2/26/2021,Sinovac,3119049
Chile,2/27/2021,Pfizer/BioNTech,248642
Chile,2/27/2021,Sinovac,3122768
Chile,2/28/2021,Pfizer/BioNTech,248644
Chile,2/28/2021,Sinovac,3123121
Chile,3/1/2021,Pfizer/BioNTech,263543
Chile,3/1/2021,Sinovac,3245756
Chile,3/2/2021,Pfizer/BioNTech,294465
Chile,3/2/2021,Sinovac,3386188
Chile,3/3/2021,Pfizer/BioNTech,313022
Chile,3/3/2021,Sinovac,3679430
Chile,3/4/2021,Pfizer/BioNTech,322126
Chile,3/4/2021,Sinovac,3980740
Chile,3/5/2021,Pfizer/BioNTech,327880
Chile,3/5/2021,Sinovac,4272683
Chile,3/6/2021,Pfizer/BioNTech,328224
Chile,3/6/2021,Sinovac,4306104
Chile,3/7/2021,Pfizer/BioNTech,328330
Chile,3/7/2021,Sinovac,4313954
Chile,3/8/2021,Pfizer/BioNTech,340919
Chile,3/8/2021,Sinovac,4651835
Chile,3/9/2021,Pfizer/BioNTech,378510
Chile,3/9/2021,Sinovac,4990565
Chile,3/10/2021,Pfizer/BioNTech,420131
Chile,3/10/2021,Sinovac,5350101
Chile,3/11/2021,Pfizer/BioNTech,465869
Chile,3/11/2021,Sinovac,5721162
Chile,3/12/2021,Pfizer/BioNTech,483274
Chile,3/12/2021,Sinovac,6077927
Chile,3/13/2021,Pfizer/BioNTech,483828
Chile,3/13/2021,Sinovac,6127784
Chile,3/14/2021,Pfizer/BioNTech,483828
Chile,3/14/2021,Sinovac,6134363
Chile,3/15/2021,Pfizer/BioNTech,507723
Chile,3/15/2021,Sinovac,6540530
Chile,3/16/2021,Pfizer/BioNTech,561239
Chile,3/16/2021,Sinovac,6896929
Chile,3/17/2021,Pfizer/BioNTech,616753
Chile,3/17/2021,Sinovac,7208539
Chile,3/18/2021,Pfizer/BioNTech,666315
Chile,3/18/2021,Sinovac,7493763
Chile,3/19/2021,Pfizer/BioNTech,689480
Chile,3/19/2021,Sinovac,7765156
Chile,3/20/2021,Pfizer/BioNTech,691398
Chile,3/20/2021,Sinovac,7797433
Chile,3/21/2021,Pfizer/BioNTech,691408
Chile,3/21/2021,Sinovac,7801453
Chile,3/22/2021,Pfizer/BioNTech,727483
Chile,3/22/2021,Sinovac,8033948
Chile,3/23/2021,Pfizer/BioNTech,787384
Chile,3/23/2021,Sinovac,8214697
