week,week_starting,provider_name,provider_address,city,county,vaccine_type,allocated_doses
Week 17,2021-04-05,Lhd Angelina County And Cities Health District (Re),503 Hill St Ste 100,Lufkin,ANGELINA,Moderna,2000
Week 17,2021-04-05,A+ Life Style Medical Group,815 Hwy 71 W,Bastrop,BASTROP,Moderna,2000
Week 17,2021-04-05,Community Action Health Center,301 S Hillside Dr Ste 5,Beeville,BEE,Moderna,1000
Week 17,2021-04-05,Samhd Main Immunizations Clinic,210 N Mel Waiters Way,San Antonio,BEXAR,Moderna,300
Week 17,2021-04-05,Chi St Joseph Health College Station Hospital,1604 Rock Prairie Rd,College Station,BRAZOS,Moderna,6100
Week 17,2021-04-05,Ccdhhs San Benito Nursing Office,1390 W Expressway 83,San Benito,CAMERON,Moderna,6000
Week 17,2021-04-05,CHAMBERS COUNTY HEALTH DEPT ANAHUAC,102 AIRPORT RD,Anahuac,CHAMBERS,Moderna,1200
Week 17,2021-04-05,Allen Fire Department,310 Century Pkwy,Allen,COLLIN,Moderna,4000
Week 17,2021-04-05,Collin County Healthcare Services,825 N Mcdonald St Ste 145,McKinney,COLLIN,Moderna,2000
Week 17,2021-04-05,City Of Dallas,1500 Marilla St,Dallas,DALLAS,Moderna,5000
Week 17,2021-04-05,LHD Dallas County Health And Human Services (incl. Fair Park),2377 N Stemmons Fwy,Dallas,DALLAS,Moderna,11000
Week 17,2021-04-05,Lhd Garland (City Of) Health Dept (Re),206 Carver Dr,Garland,DALLAS,Moderna,1000
Week 17,2021-04-05,City of El Paso Fire Department,301 George Perry,El Paso,EL PASO,Moderna,10000
Week 17,2021-04-05,LHD Galveston County Health District (RE),9850 B Emmett F Lowry EXpy,Texas City,GALVESTON,Moderna,5000
Week 17,2021-04-05,HCPH Main Office,2223 West Loop South,Houston,HARRIS,Moderna,10000
Week 17,2021-04-05,Houston Health Department Immunization Bureau,8000 N Stadium Dr,Houston,Harris,Moderna,10000
Week 17,2021-04-05,Lhd Hidalgo County Health Department (Re),1304 S 25th Ave,Edinburg,HIDALGO,Moderna,6000
Week 17,2021-04-05,Jefferson County Immunization Clinic,7933 Viterbo Rd Ste 100,Beaumont,JEFFERSON,Moderna,11000
Week 17,2021-04-05,Kleberg County Sheriff's Office,1500 E King Ave,Kingsville,KLEBERG,Moderna,1000
Week 17,2021-04-05,Eagle Pass Fire Department,2558 El Indio Hwy,Eagle Pass,MAVERICK,Moderna,1200
Week 17,2021-04-05,Lone Star Community Health Center,605 S. Conroe Medical Dr,Conroe,MONTGOMERY,Moderna,1500
Week 17,2021-04-05,LHD Corsicana-Navarro Public Health District (RE),618 N Main,Corsicana,NAVARRO,Moderna,1500
Week 17,2021-04-05,LHD Corpus Christi-Nueces County Public Health District (RE),1702 Horne Road,Corpus Christi,NUECES,Moderna,7000
Week 17,2021-04-05,LHD Amarillo DOH,1000 Martin Rd,Amarillo,POTTER,Moderna,3000
Week 17,2021-04-05,Pecos Valley Rural Health Clinic,2335 S Pigman St,Pecos,REEVES,Moderna,800
